date,site,weather,multispec,rgb
20250210,Pfynwald ,sunny no clouds,M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20250210,M:\working_package_2\2024_dronecampaign\01_data\P1\Pfynwald\20250210
20250311,Pfynwald,sunny no clouds,M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20250311,M:\working_package_2\2024_dronecampaign\01_data\P1\Pfynwald\20250311
20250409,Sanasilva-50845,sunny no clouds,Folder not found,Folder not found
20250409,Sanasilva-50877,sunny no clouds,Folder not found,Folder not found
20250410,lwf_lens,sunny no clouds,M:\working_package_2\2024_dronecampaign\01_data\Micasense\lwf_lens\20250410,M:\working_package_2\2024_dronecampaign\01_data\P1\lwf_lens\20250410
20250410,lwf_visp,sunny no clouds,M:\working_package_2\2024_dronecampaign\01_data\Micasense\lwf_visp\20250410,M:\working_package_2\2024_dronecampaign\01_data\P1\lwf_visp\20250410
20250410,treenet_salgesch,sunny no clouds,M:\working_package_2\2024_dronecampaign\01_data\Micasense\treenet_salgesch\20250410,M:\working_package_2\2024_dronecampaign\01_data\P1\treenet_salgesch\20250410
20250411,Illgraben,sunny no clouds,M:\working_package_2\2024_dronecampaign\01_data\Micasense\Illgraben\20250411,M:\working_package_2\2024_dronecampaign\01_data\P1\Illgraben\20250411
20250411,Pfynwald,sunny no clouds,M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20250411,M:\working_package_2\2024_dronecampaign\01_data\P1\Pfynwald\20250411
20250424,lwf_neunkirch,cloudy,M:\working_package_2\2024_dronecampaign\01_data\Micasense\lwf_neunkirch\20250424,M:\working_package_2\2024_dronecampaign\01_data\P1\lwf_neunkirch\20250424
20250430,lwf_schänis,sunny no clouds,M:\working_package_2\2024_dronecampaign\01_data\Micasense\lwf_schänis\20250430,M:\working_package_2\2024_dronecampaign\01_data\P1\lwf_schänis\20250430
20250430,treenet_sempach,sunny no clouds,M:\working_package_2\2024_dronecampaign\01_data\Micasense\treenet_sempach\20250430,M:\working_package_2\2024_dronecampaign\01_data\P1\treenet_sempach\20250430
