Label, Easting, Northing, Ellip Height
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0002_6.tif, 2613269.275689, 1127766.683106,     0.0000
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0003_6.tif, 2613269.298755, 1127766.705389,     0.0000
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0004_6.tif, 2613269.267669, 1127766.827603,     0.0000
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0005_6.tif, 2613269.335627, 1127767.461395,     0.0000
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0008_6.tif, 2613269.934094, 1127768.607707,     0.0000
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0009_6.tif, 2613270.127319, 1127768.330216,     0.0000
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0010_6.tif, 2613267.375274, 1127768.991196,     0.0000
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0011_6.tif, 2613257.682545, 1127772.582907,     0.0000
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0012_6.tif, 2613253.156282, 1127774.218277,     0.0000
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0013_6.tif, 2613251.722088, 1127774.726509,     0.0000
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0014_6.tif, 2613253.575901, 1127774.171371,   677.8119
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0015_6.tif, 2613254.343891, 1127776.375218,   677.9440
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0016_6.tif, 2613256.639380, 1127783.055635,   678.3091
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0017_6.tif, 2613258.615871, 1127788.841392,   678.6326
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0018_6.tif, 2613259.878001, 1127792.514532,   678.8318
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0019_6.tif, 2613262.252368, 1127799.373757,   679.1895
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0020_6.tif, 2613263.680587, 1127803.524979,   679.4190
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0021_6.tif, 2613264.972097, 1127807.282626,   679.6272
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0022_6.tif, 2613268.827145, 1127818.525898,   680.2457
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0023_6.tif, 2613269.042117, 1127819.152049,   680.2796
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0024_6.tif, 2613270.254427, 1127822.696207,   680.4661
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0025_6.tif, 2613272.043306, 1127827.945736,   680.7342
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0026_6.tif, 2613273.513128, 1127832.248827,   680.9716
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0027_6.tif, 2613275.121176, 1127836.954922,   681.2348
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0028_6.tif, 2613276.513829, 1127841.031508,   681.4640
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0029_6.tif, 2613277.929791, 1127845.143318,   681.6935
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0030_6.tif, 2613281.117560, 1127854.287968,   682.1908
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0031_6.tif, 2613281.850128, 1127856.396258,   682.3024
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0032_6.tif, 2613283.172900, 1127860.207975,   682.5105
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0033_6.tif, 2613285.513100, 1127866.973707,   682.8972
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0034_6.tif, 2613286.782614, 1127870.682597,   683.1024
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0035_6.tif, 2613288.184509, 1127874.782448,   683.3140
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0036_6.tif, 2613290.968510, 1127882.947729,   683.6625
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0037_6.tif, 2613291.336829, 1127884.029888,   683.7006
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0038_6.tif, 2613293.349278, 1127889.927149,   683.8905
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0039_6.tif, 2613294.753582, 1127894.034190,   683.9957
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0040_6.tif, 2613295.909572, 1127897.414241,   684.0796
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0041_6.tif, 2613298.527822, 1127905.075151,   684.2312
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0042_6.tif, 2613300.028453, 1127909.469889,   684.3301
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0043_6.tif, 2613301.215477, 1127912.946520,   684.4096
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0044_6.tif, 2613303.628334, 1127919.985176,   684.5588
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0045_6.tif, 2613304.863740, 1127923.619231,   684.6324
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0046_6.tif, 2613307.384803, 1127931.003404,   684.8021
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0047_6.tif, 2613308.305095, 1127933.678027,   684.8733
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0048_6.tif, 2613310.870015, 1127941.141075,   685.0784
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0049_6.tif, 2613312.102922, 1127944.733333,   685.1698
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0050_6.tif, 2613313.708821, 1127949.416786,   685.2794
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0051_6.tif, 2613315.008958, 1127953.217300,   685.3679
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0052_6.tif, 2613317.348431, 1127960.032910,   685.5272
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0053_6.tif, 2613318.606636, 1127963.660971,   685.6132
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0054_6.tif, 2613320.216821, 1127968.301129,   685.7196
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0055_6.tif, 2613321.631661, 1127972.376491,   685.8108
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0056_6.tif, 2613322.902882, 1127976.022615,   685.8910
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0057_6.tif, 2613325.445866, 1127983.377014,   686.0537
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0058_6.tif, 2613326.878711, 1127987.588385,   686.1486
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0059_6.tif, 2613328.077361, 1127991.078950,   686.2313
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0060_6.tif, 2613330.418085, 1127997.915377,   686.3909
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0061_6.tif, 2613331.860251, 1128002.152533,   686.4870
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0062_6.tif, 2613333.209705, 1128006.154340,   686.5503
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0063_6.tif, 2613334.683650, 1128010.514717,   686.6053
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0064_6.tif, 2613335.933605, 1128014.159249,   686.6305
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0065_6.tif, 2613338.366851, 1128021.211262,   686.6586
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0066_6.tif, 2613339.766168, 1128025.234273,   686.6587
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0067_6.tif, 2613341.067514, 1128028.996996,   686.6588
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0068_6.tif, 2613343.325083, 1128035.547441,   686.6580
